city,latitude,longitude,country,admin
Davao,7.073056,125.612778,Philippines,Davao
Tuguegarao,17.615772,121.722849,Philippines,Cagayan
Alabel,6.101792,125.290478,Philippines,Sarangani
Borongan,11.608056,125.431944,Philippines,Eastern Samar
Alcantara,9.971699,123.402763,Philippines,Cebu
Dumaguete City,9.307,123.3074,Philippines,Negros Oriental
Romblon,12.575127,122.270813,Philippines,Romblon
Sorsogon,12.9927,124.0147,Philippines,Sorsogon
Masinloc,15.5286,119.9608,Philippines,Zambales
El Nido,11.1906,119.5082,Philippines,Palawan
Concepcion,10.7202,122.5621,Philippines,Iloilo
Bohol,9.85,124.1435,Philippines,Bohol
Coron,12.0489,120.1519,Philippines,Palawan
Bongao,5.1042,119.8121,Philippines,Tawi-Tawi
